zaehlernummer,datum,verbrauch,preisProEinheit,zaehlertyp
8EMTB217000753,1.01.2017,353,2.27,Wasser
8EMTB217000753,23.05.2017,392,2.27,Wasser
8EMTB217000753,1.01.2018,447,2.27,Wasser
8EMTB217000753,17.05.2018,502,2.27,Wasser
8EMTB217000753,1.01.2019,560,2.27,Wasser
8EMTB217000753,1.10.2018,532,2.27,Wasser
64849,1.01.2017,1656,23.32,Strom
64849,23.05.2017,2690,24.13,Strom
64849,1.01.2018,3914,24.13,Strom
64849,1.05.2018,4746,25.1,Strom
64849,1.01.2019,6041,25.1,Strom
64849,1.10.2018,5024,25.1,Strom
64849,1.02.2019,6549,25.1,Strom
8EMTB217000753,1.02.2019,581,2.27,Strom
91862,21.11.2017,956.222,5.27,Gas
91862,23.11.2017,962,5.27,Gas
91862,23.11.2017,967,5.27,Gas
91862,25.11.2017,978,5.27,Gas
91862,26.11.2017,982,5.27,Gas
91862,7.01.2018,1227.7,5.5,Gas
91862,24.01.2018,1383,5.5,Gas
91862,8.02.2018,1541,5.5,Gas
91862,9.02.2018,1550,5.5,Gas
91862,17.02.2018,1578,5.5,Gas
91862,24.02.2018,1661,5.5,Gas
91862,1.03.2018,1699,5.5,Gas
91862,12.03.2018,1800,5.5,Gas
91862,17.03.2018,1841.8,5.5,Gas
91862,23.03.2018,1904,5.5,Gas
91862,31.03.2018,1926.9,5.5,Gas
91862,8.04.2018,1965.2,5.5,Gas
91862,13.04.2018,1980.09,5.5,Gas
91862,20.04.2018,1995.7,5.5,Gas
91862,1.10.2018,2049.35,5.5,Gas
91862,8.10.2018,2077.5,5.5,Gas
91862,23.10.2018,2079.78,5.5,Gas
91862,27.10.2018,2100,5.5,Gas
91862,5.10.2018,2106.3,5.5,Gas
91862,22.11.2018,2185,5.5,Gas
91862,2.12.2018,2241,5.5,Gas
91862,5.01.2019,2556,5.5,Gas
91862,14.01.2019,2680,5.5,Gas
91862,21.01.2019,2765,5.5,Gas
91862,10.02.2019,3049.49,5.5,Gas
91862,12.02.2019,3071.52,5.5,Gas
91862,1.03.2019,3221,5.5,Gas
